paper_id,Criteria met,Justification
112,IN,The study explicitly quantifies tourism socio-ecological system resilience (TSESR) by computing a TSESR index (Ci) via an Improved-TOPSIS method with stated formulas and reports resilience results for 2010–2020.
269,OUT,The paper quantitatively computes resistance and recovery (normalized to baseline) but does not explicitly quantify resilience or state these metrics are proxies for resilience.
109,OUT,"The paper discusses “resilience” conceptually (e.g., “bleaching resilience”) but does not explicitly define or compute a quantitative resilience metric or proxy as resilience in its analyses."
227,IN,The study explicitly defines resilience and quantitatively computes it via tipping point positions and effect sizes (differences in oxygen diffusivity) to obtain resilience results.
85,OUT,"Although “recovery resilience” is discussed conceptually, the quantitative analyses model kelp cover as a function of temperature and sea urchins without defining or computing any resilience metric or proxy as resilience."
230,IN,The study explicitly quantifies resilience via calculated network efficiency and network eco-efficiency (NEE) using provided equations (3) and (6) and reports results linking these metrics to “increased resilience.”
98,IN,The study explicitly quantifies ecosystem resilience (RI = 1-δ) and resistance (RVI = 1-VSI) via an ARx model and computes an ecosystem stability index (ESI = RI/(1+VSI)) with reported numerical results.
228,IN,The study explicitly quantifies reef resilience/recovery potential by computing a numerical Recovery Index (RI) via the TOPSIS method with stated equations (1–7) and reports RI results/rankings for sites.
254,OUT,"Although resilience is discussed conceptually, the quantitative analyses compute burn-severity landscape metrics and distance-to-seed-source proxies without explicitly stating they are resilience or a proxy for resilience."
6,IN,"The study quantitatively computes resilience components (resistance, recovery, and invariability) using explicit mathematical formulas and analyzes their predictors."
1074,IN,"The study explicitly defines resilience as mean herbivore biomass and provides equations (e.g., eqns 5–9, 14) to compute equilibrium mean biomass as the resilience measure under different MPA strategies."
80,IN,"The Methods explicitly quantify drought resilience using Lloret et al. (2011) resilience indices, including a defined resilience metric (Rs = BAIpostD/BAIpreD) that is calculated and reported in results."
777,OUT,"Although “carbon resilience” is stated, the study only quantifies mortality and aboveground biomass dynamics and does not provide any explicit resilience metric, proxy, or calculation method for resilience."
218,IN,The Methods explicitly state that standardized drought impact and recovery rates are used as proxies for ecological resilience to drought and provide formulas (I and RR) that are calculated and analysed.
581,IN,The study explicitly uses predicted time to recovery as an indicator/proxy for resilience and quantitatively computes recovery rates and recovery time via a defined annual rate-of-change equation and iterative predictions.
373,OUT,"Although “drought resilience” is mentioned conceptually, the quantitative analysis computes phenotypic plasticity (RDPI) and ecotypic differentiation rather than any resilience metric or stated proxy for resilience."
237,OUT,"Although “resilience” is mentioned conceptually, the study does not define, compute, or use any quantitative resilience metric or proxy explicitly as resilience."
1110,OUT,"Resilience is discussed conceptually (e.g., inferred from long-lasting treatment effects) but no resilience metric, proxy explicitly labeled as resilience, or mathematical method/index to compute resilience is quantified."
54,OUT,"Resilience is only mentioned qualitatively (e.g., “indicating that the resilience of fish skin microbiome was high”) without any explicit quantitative resilience metric, proxy, or calculation method."
751,OUT,"Resilience is only mentioned conceptually (e.g., “stability and resilience to further disturbance”) and no resilience metric/proxy is explicitly defined or calculated."
251,OUT,"Although the paper discusses “functional resilience” conceptually, it quantitatively analyzes seed removal and related variables without providing any explicit resilience metric, proxy statement, or calculation of resilience."
229,OUT,"Resilience is discussed conceptually (e.g., “reference condition for resilient post-fire recovery”) but no resilience metric/proxy is explicitly defined and quantitatively computed."
260,IN,The study explicitly quantifies farmland ecosystem resilience (FER) using a defined calculation method and formulas (Eq. 1–2) and reports FER results and changes for Ethiopia (2003–2018).
1034,OUT,"The paper quantitatively computes fish species tolerance to human perturbation (e.g., WA optima/tolerance, residual-based and partitioning methods) but does not explicitly quantify resilience or state any metric as a proxy for resilience."
768,IN,The study quantitatively analyzes community response to disturbance within a resilience framework by computing compositional dissimilarity and richness changes and transforming them into Hedges g using an explicit formula to obtain results.
989,OUT,"Although metrics include FishBase “resilience” categories (e.g., densities of individuals with “high/medium/low” resilience), the paper does not explicitly state these are used as a resilience measure/proxy within a resilience framework nor provide a mathematical resilience index/method with resilience results."
23,OUT,"Although “resilient/resilience” is mentioned conceptually, the study does not explicitly define, compute, or quantify resilience (or a stated proxy for resilience) via a mathematical index/method in its quantitative analyses."
178,IN,"The study explicitly measures ecological resilience by constructing an ER index system (RE, AD, RC) and calculating ER scores via the entropy method with stated equations and reported results."
195,OUT,"Although resilience is discussed conceptually (e.g., forests being resilient vs transitioning to alternative stable states), the study does not compute or quantify resilience (or an explicit proxy for resilience) via a mathematical index or method."
256,IN,"The study explicitly quantifies resilience as ability to recover from disturbance using computed recovery metrics (e.g., damping time, T0, Thalf) derived from IPM/IBM simulations and reports edge-vs-centre results."
33,OUT,"The paper discusses reef states, shifts, and “reef resilience” conceptually but does not explicitly define, compute, or use any quantitative resilience metric or proxy as resilience in its analyses."
493,IN,"The Methods explicitly define and compute resilience (and resistance) using proportional-change formulas (e.g., ""Resilience = (Drecovery − Arecovery)/Arecovery"") and report quantitative resilience results for multiple ecosystem functions."
267,IN,The Methods explicitly quantify resilience with a mathematical formula (slope of ln-response ratio over time) and report resilience results for function and energy flux.
139,OUT,"Although resilience is defined conceptually and discussed, the quantitative analysis computes cover, FDis, WUE, and tipping points without explicitly stating any as resilience (or a proxy) or providing a mathematical resilience index/method."
257,IN,The study explicitly quantifies drought resilience via computed resistance (maximum perennial grass cover loss vs control; Eq. 1) and recovery (time to regain 80% of control cover) and reports results.
87,IN,"The study explicitly assesses ecological network “resilience” using a cascade failure simulation and computes quantitative resilience-related metrics with equations (connectivity robustness, global efficiency, connected components, natural connectivity) under multiple scenarios."
90,IN,"The Methods explicitly define and compute EN resilience using the largest connectivity subgraph S = n/N (Eq. 6) and network efficiency E (Eq. 7), then normalize and combine them to calculate a resilience index (R) with quantitative results under disturbance simulations."
141,OUT,"Although “resistance and resilience” are mentioned conceptually, the quantitative analysis models tree growth responses to climate anomalies and neighbourhood crowding without defining or computing any resilience metric or proxy as resilience."
63,OUT,"Although resilience is discussed conceptually (e.g., “weakening of resilience” and “enhance resilience”), the study does not provide any explicit quantitative resilience metric, proxy, or calculation method."
89,OUT,"The paper quantifies network robustness/connectivity (e.g., RG from global communication efficiency) but does not explicitly define or compute resilience or a stated proxy for resilience."
58,OUT,"Although the paper mentions “resilience” conceptually, it does not explicitly quantify resilience or state any computed variable/index as a proxy for resilience in its quantitative analysis."
65,IN,"The study explicitly quantifies “structural resilience” by computing an RPA polynomial via Gröbner bases to identify a perturbation-independent steady-state setpoint (Z=k) and reports results (e.g., 339 networks exhibiting structural resilience)."
1097,IN,The study explicitly quantifies community resilience as return rate to equilibrium computed as the absolute value of the dominant eigenvalue of the Jacobian matrix at equilibrium and reports results across simulations.
91,OUT,"Although “resilience” is mentioned conceptually (e.g., functional diversity declines “could erode ecosystem resilience”), the study quantifies taxonomic/phylogenetic/functional diversity and traits but does not define, compute, or use any explicit resilience metric or stated proxy for resilience."
143,OUT,"Although the paper mentions constructing an ""ecological resilience surface,"" it only quantifies resistance/corridor metrics (e.g., resistance surfaces, current, centrality) and does not define or compute resilience (or a stated proxy for resilience) as a quantitative index."
252,OUT,"Resilience is only discussed conceptually (e.g., “seagrass resilience depends on…”) and no resilience metric, proxy explicitly stated as such, or calculation method for resilience is provided."
104,OUT,"Resilience is only discussed conceptually (e.g., recruitment as an indicator and “potential exhaustion of kelp stand resilience”) without any explicit quantitative resilience metric, proxy statement, or calculation method producing resilience results."
43,IN,"The text states that Blake et al. estimated community resilience quantitatively as the system’s “potential,” described as a mathematical representation of the capacity to return to equilibrium after perturbation."
181,OUT,"Although the paper mentions “resilience” and “ecosystem stability,” it only quantifies network stability metrics (e.g., modularity, edges/nodes, avgCC) without explicitly defining or computing a resilience index/proxy as resilience."
170,IN,"The Methods explicitly quantify resilience as “resilience in synchrony” computed as the change in variance ratio (VR) of resident community synchrony pre- vs post-invasion, with VR mathematically defined (Eq. 3–4) and post-invasion VR results reported (Figures 3–4)."
273,OUT,"Although resilience is mentioned conceptually, the quantitative analyses compute legacy/lag effects and their significance but do not explicitly define or calculate a resilience metric or proxy as resilience."
266,OUT,"Although resilience is discussed conceptually (e.g., as recolonization) and related processes (immigration/emigration, recovery) are quantified, the paper does not compute any explicit resilience metric/index or state any measured variable is a proxy for resilience."
232,IN,The study explicitly quantifies resilience as a PSR criterion layer using an NDVI slope-based resilience layer index (RLI) with a stated regression-slope equation and computed results used in the NOEV calculation.
160,IN,The study explicitly defines resilience quantitatively as recovery to pre-fire levels within a time shorter than the mean fire return interval and computes postfire recovery times (c. 50–80 years) relative to FRI.
