Abstract_ID,Title,Year,Journal,Keywords.author,Abstract,Review,Eco.Quantify,Abiotic,Human
523,Inferring the occurrence of regime shifts in a shallow lake during the last 250 years based on multiple indicators,2020,ECOLOGICAL INDICATORS,Photosynthetic pigments; Cladocera; Rotifera; Cyanobacteria; Diatoms; Early warning indicators,"Regime shifts are ecosystem-scale phenomena. In lake studies, most supporting evidence is frequently based on a single state variable. We examined the sediment record of the shallow lake Blanca Chica (Argentina) to explore the response of multiple proxies belonging to different trophic levels (nutrients, chlorophyll and carotenoid pigments, diatoms, Cladocera remains, and Rotifera resting eggs) over the last 250 yr. We explored different ecological indicators to assess changes consistent with regime shifts. To do so, first we identified the timing of transitional periods on multiple-proxies. Then, we explored (1) the nature of the change (linear versus non-linear dynamics), (2) different indicators of a shift across the food web: multimodality and resilience indicators (standard deviation and autocorrelation), and (3) examined the synchronicity of the detected indicators at multiple-trophic levels. Generalized additive models fitted to the ordination scores of the assemblages analyzed revealed two transitions: ca. 1860-1900, and 1915-1990. Ecological indicators of regime shifts revealed that the first transition is consistent with a threshold state response (change in the ecosystem state manifest as a jump when the driver exceeds a state threshold), and the second one with a critical transition (hysteretic transition in which the system change to an alternate stable state). After the first transition lake structure shifted from littoral to pelagic species dominance (evidenced by Cladocera and diatom assemblages), and turbidity increased, in-dicating a rise in lake water level. This transition was non-linear, showed multimodality, and is most likely driven by an increase in precipitation registered in the region since 1870. During the second transition, nutrient levels rose, all indicators showed multimodality, non-linear dynamics and an increase in standard deviation prior to the regime shift. These dynamics are consistent with a critical transition in response to eutrophication, and coincides with a post-1920 change in land use. Our results show that several ecological indicators of regime shifts need to be examined to perform an accurate diagnosis. We highlight the relevance of a multi-proxy ap-proach including multiple-trophic level responses as the appropriate scale of analysis to determine the occur-rence, type and dynamics of regime shifts. We also show that resilience indicators and critical transitions can be detectable in the whole food web and that shallow lakes can undergo different types of regime shifts.",NO,YES,NO,NO
524,Composition of highly diverse diatom community shifts as response to climate change: A down-core study of 23 central European mountain lakes,2020,ECOLOGICAL INDICATORS,Climate warming; Lake types; Lake depth; Anthropogenic influence; beta-Diversity,"Alpine mountain lake biota are adapted to harsh conditions making them particularly vulnerable to global change. However, as each mountain lake has a different limnology, there are supposed to be differential re-sponses and degrees of resilience to climate change. In this study, 23 lakes in the Bavarian-Tyrolian Alps dif-fering in altitude, size and geology were examined for their diatom community response to climate warming. Subfossil data were related to 210Pb and 137Cs-dated sediment cores. Correspondence and regression analyses revealed five different assemblage developments depending on lake depth, altitude and origin. Planktic species, especially Cyclotella, dominated deeper and lower-altitude mountain lakes earlier and stronger. This depends on the stability and temperature of the epilimnion which in turn determines the tipping point. Instead, shallow lakes exhibit higher species reorganizations of diatom assemblages. Mountain lakes of lower altitudes or affected by water level fluctuations (WLF) establish complex substrata and Achnanthidium accompanied by epiphytic species or Denticula tenuis in WLF-lakes replace dominating Staurosira. Conversely, alpine shallow lakes lack directional shifts and Staurosira dominate, but approach the tipping point of macrophyte establishment. In a deep doline lake, Diploneis species replace Nitzschia denticula with negligible planktic proportions. In mountain lakes with direct anthropogenic influence, enhanced nutrient supply disguises diatom response to global warming. These findings revealed deep mountain lakes with low nutrient levels to be more resilient to climate change than shallow lakes with a higher trophic status as the onset of the response to rising temperatures is earlier and thus smoother. In conclusion, subfossil diatom analyses can provide a powerful tool for climate change assessment and other anthropogenic impacts on mountain lakes.",NO,YES,NO,NO
525,Eurasian otter (Lutra lutra) diet as an early indicator of recovery in defaunated river communities,2020,ECOLOGICAL INDICATORS,Fish; Crayfish; Donana National Park; Ecological restoration; Aznalcollar toxic spill; River resilience,"In April 1998 the dam of the Aznalcollar mine tailings pond in the surroundings of the Donana National Park (Southwestern Spain) was broken, discharging into the Guadiamar River 6 hm3 of toxic mud and acidic water with high concentrations of heavy metals and arsenic. As consequence, 60 km of the river were defaunated. First signs of the Eurasian otter (Lutra lutra), a top predator of aquatic ecosystems, were detected at the affected river sectors six months after the spill. We studied temporal and spatial variations in the otter diet at the Guadiamar River throughout two years in order to investigate its putative role as indicator of the river recolonization process by otter prey. We collected 893 otter faeces (or spraints) (560 the first year and 333 the second one) beginning 13 months after the accident. Spraint content was identified using morphological keys. Results are expressed as frequency of occurrence of each type of prey, percentage of individual prey, and relative frequency of occurrence. Most of the diet was made by fish (occurring in 77% of the samples) and crayfish (39%), with minor representation of amphibians (15%), insects (7%) and birds (6%). The importance of fish in the affected sectors increased the second year of study, contrasting with a decrease in the role of crayfish and the group other vertebrates. Just over a year after the toxic spill the otter diet was rather similar to those detected in other Iberian Mediterranean rivers not affected by such a catastrophic event, suggesting the recovery of the riverine biocenose was almost completed. However, several studies on different animal groups showed that the spill impact was still very pronounced at this time. This fact questions the role of the otter diet as a suitable indicator of the complete river recovery. Alternatively, otter diet seems to be a powerful indicator of the early stages of fish recolonization, since most species occurred in the spraints between six months and one year before they were captured in human samplings.",NO,YES,NO,NO
526,Temporal stability vs. community matrix measures of stability and the role of weak interactions,2020,ECOLOGY LETTERS,asymptotic resilience; coefficient of variation; community matrix; initial resilience; intrinsic stochastic variability; mesocosm; multivariate autoregressive models; plankton; stability; weak interactions,"Relationships between different measures of stability are not well understood in part because empiricists and theoreticians tend to measure different aspects and most studies only explore a single form of stability. Using time-series data from experimental plankton communities, we compared temporal stability typically measured by empiricists (coefficient of variation in biomass) to stability measures typically measured by theoreticians derived from the community matrix (asymptotic resilience, initial resilience and intrinsic stochastic invariability) using first-order multivariate autoregressive models (MAR). Community matrices were also used to derive estimates of interaction strengths between plankton groups. We found no relationship between temporal stability and stability measures derived from the community matrix. Weaker interaction strengths were generally associated with higher stability for community matrix measures of stability, but were not consistently associated with higher temporal stability. Temporal stability and stability measures derived from the community matrix stability appear to represent different aspects of stability reflecting the multi-dimensionality of stability.",NO,YES,NO,NO
528,"Functional diversity enhances tree growth and reduces herbivory damage in secondary broadleaf forests, but does not influence resilience to drought",2020,JOURNAL OF APPLIED ECOLOGY,beech; climate change; drought; forest expansion; functional diversity; herbivory; land use legacies; resilience,"Since the mid-20th Century, Europe has experienced an unprecedented forest expansion associated with the abandonment of rural landscapes. Secondary forests may provide relevant ecosystem services such as landscape defragmentation, biodiversity conservation, control of hydrological cycling and carbon sequestration. Secondary forests may benefit from the legacies of the former agricultural land use, and exhibit enhanced growth. Moreover, they may differ from long-established forests in terms of tree species composition and diversity, as community composition has been less modified by succession or management. However, we lack evidence whether the effects of land use legacies on tree species diversity may also result in differences in the response of secondary forests to biotic and abiotic disturbances. We aimed to evaluate the effects of land use legacies on taxonomic and functional diversity and their effects on the response of temperate broadleaf forests to drought and herbivory damage. For this aim, we compared secondary beechFagus sylvaticaforests established after 1950 in abandoned pastures with long-established (pre-1950) forests. We calculated indices of taxonomic and functional diversity and determined mean growth and growth response of beech to two drought events (1991, 2006), and insect herbivory damage. Secondary and long-established beech forests marginally differed in species richness but the former exhibited a significantly higher Shannon diversity index and evenness. Yet, differences in taxonomic diversity did not result in differences in functional diversity between forest types. Mean tree growth was higher in secondary than in long-established forests and it increased with functional diversity in both forest types. However, diversity was unrelated with the growth response to drought. Insect herbivory damage decreased with increasing functional diversity but only in secondary forests. Synthesis and applications. Promoting functional diversity in temperate broadleaf forests is a promising strategy for enhancing productivity (tree growth) while increasing the ability to cope with biotic disturbances (insect herbivory). This principle should be applied both in the management of long-established as well as expanding secondary forests. Yet, functional diversity does not seem to ameliorate tree response to drought, highlighting the need for other silvicultural practices to address this environmental challenge.",NO,YES,NO,NO
529,A trait-based approach to assessing resistance and resilience to wildfire in two iconic North American conifers,2021,JOURNAL OF ECOLOGY,bark thickness; dry forests; plant development and life-history traits; plant functional traits; seed production; vegetation conversions; vital rates; wildfire,"Ongoing changes in fire regimes have the potential to drive widespread shifts in Earth's vegetation. Plant traits and vital rates provide insight into vulnerability to fire-driven vegetation shifts because they can be indicators of the ability of individuals to survive fire (resistance) and populations to persist (resilience) following fire. In 15 study sites spanning climatic gradients in the southern Rocky Mountains, USA, we quantified variation in key traits and vital rates of two co-occurring, widely distributed conifers (Pinus ponderosaDouglas ex. P. Lawson & C. Lawson andPseudotsuga menziesii(Mirb.) Franco). We used mixed-effects models to explain inter- and intraspecific variation in tree growth, survival, bark thickness and seed cone production, as a function of species, tree life stage (i.e. diameter, height and age), average climate, local competition and site conditions. Pinus ponderosawas predicted to survive low-severity fire at a 23% earlier age thanP. menziesii.Pinus ponderosahad thicker bark and more rapid juvenile height growth, traits conferring greater fire resistance. In contrast,P. menziesiiwas predicted to produce seed cones at a 28% earlier age thanP. ponderosa. For both species, larger individuals were more likely to survive fire and to produce cones. ForP. ponderosa, cone production increased where average actual evapotranspiration (AET) was higher and local competition was lower. More frequent cone production on productive sites with higher AET is an important and underappreciated mechanism that may help to explain greater resilience to fire in these areas. Synthesis. Our analyses indicated that many plant traits and vital rates related to fire differed betweenPinus ponderosaandPseudotsuga menziesii, with trade-offs between investment in traits that promote individual defence to fire and those that promote recolonization of disturbed sites. Future changes in fire regimes will act as a filter throughout North American forests, with our findings helping to infer which individuals and populations of two iconic species are most vulnerable to future change and offering a framework for future inquiry in other forests facing an uncertain future.",NO,YES,NO,NO
530,Drought shrinks terrestrial upland resilience to climate change,2020,GLOBAL ECOLOGY AND BIOGEOGRAPHY,climate change; drought; meta-analysis; N2O; respiration; soil C pool; soil N pool,"Aim Drought has been shown to alter terrestrial ecosystem carbon (C) and nitrogen (N) dynamics, and thus feedback to future climate. However, drought-induced changes in terrestrial upland C and N pools and the drought response of soil carbon dioxide (CO2) and nitrous oxide (N2O) fluxes are yet to be quantified. Location Global upland ecosystems. Time period 2000-2018. Major taxa studied Terrestrial C and N fluxes. Methods A meta-analysis was conducted that compiled 1,344 measurements from 128 manipulative studies worldwide to obtain a general picture of terrestrial C and N cycling responses to soil drought stress and identify the primary driving factors. Results We showed that drought significantly decreased plant C pools, with stronger negative responses of aboveground than belowground C components. Drought significantly decreased soil respiration (R-S) and N2O fluxes by 19% and 29%, respectively. There were non-significant changes in soil organic C and N pools in response to drought; in contrast to a considerable decrease in soil dissolved organic C (-22%), there was a robust increase in soil nitrate-N (26%) following short-term drought impact. By relating net ecosystem productivity (NEP) to the difference between net primary production (NPP) and soil heterotrophic respiration (R-H), drought was found to drive a decrease up to -37% in NEP, being equivalent to a reduction in terrestrial net C uptake of 2.91 t C/ha. Main conclusions Our study provides insights into soil release of CO(2)and N2O with a linkage to the changes in terrestrial C and N pools in response to drought across upland biomes. Our findings highlight that, despite the lowered soil C release rate, the capacity of upland biomes as a C sink to slow climate change would still be weakened due to a robust decline of plant-derived C input to soil in a future drier climate.",NO,NO,NO,NO
532,Thermotolerant coral symbionts modulate heat stress-responsive genes in their hosts,2020,MOLECULAR ECOLOGY,coral bleaching; Durusdinium trenchii; Montastraea cavernosa; tag-based RNA-seq; tagSeq; transcriptome,"Some corals may become more resistant to bleaching by shuffling their Symbiodiniaceae communities toward thermally tolerant species, and manipulations to boost the abundance of these symbionts in corals may increase resilience in warming oceans. However, the thermotolerant symbiontDurusdinium trenchiimay reduce growth and fecundity in Caribbean corals, and these tradeoffs need to be better understood as this symbiont spreads through the region. We sought to understand howD. trenchiimodulates coral gene expression by manipulating symbiont communities inMontastraea cavernosato produce replicate ramets containingD. trenchiitogether with paired ramets of these same genets (n = 3) containingCladocopiumC3 symbionts. We then examined differences in global gene expression between corals hostingDurusdiniumandCladocopiumunder control temperatures, and in response to short-term heat stress. We identified numerous transcriptional differences associated with symbiont identity, which explained 2%-14% of the transcriptional variance. Corals withD. trenchiiupregulated genes related to translation, ribosomal structure and biogenesis, and downregulated genes related to extracellular structures, and carbohydrate and lipid transport and metabolism, relative to corals withCladocopium. Unexpectedly, these changes were similar to those observed inCladocopium-dominated corals in response to heat stress, suggesting that thermotolerantD. trenchiimay cause corals to increase expression of heat stress-responsive genes, explaining both the increased heat tolerance and the associated energetic tradeoffs in corals containingD. trenchii. These findings provide insight into the ecological changes occurring on contemporary coral reefs in response to climate change, and the diverse ways in which different symbionts modulate emergent phenotypes of their hosts.",NO,YES,NO,NO
534,The diversity of post-fire regeneration strategies in the cerrado ground layer,2021,JOURNAL OF ECOLOGY,below-ground bud bank; fire ecology; fire-prone ecosystems; fire response; functional traits; herbaceous species; neotropical savanna; underground structures,"Disentangling species strategies that confer resilience to natural disturbances is key to conserving and restoring savanna ecosystems. Fire is a recurrent disturbance in savannas, and savanna vegetation is highly adapted to and often dependent on fire. However, although the woody component of tropical savannas is well studied, we still do not understand how ground-layer plant communities respond to fire, limiting conservation and management actions. We investigated the effects of prescribed fire on community structure and composition, and evaluated which traits are involved in plant community regeneration after fire in the cerrado ground layer. We assessed traits related to species persistence and colonization capacity after fire, including resprouter type, underground structure, fire-induced flowering, regeneration strategy and growth form. We searched for functional groups related to response to fire, to shed light on the main strategies of post-fire recovery among species in the ground layer. Fire changed ground-layer community structure and composition in the short term, leading to greater plant species richness, population densities and increasing bare soil, compared with unburned communities. Eight months after fire, species abundance did not differ from pre-disturbance values for 86% of the species, demonstrating the resilience of this layer to fire. Only one ruderal species was disadvantaged by fire and 13% of the species benefited. Rapid recovery of soil cover by native vegetation in burned areas was driven by species with high capacity to resprout and spread vegetatively. Recovery of the savanna ground-layer community, as a whole, resulted from a combination of different species traits. We summarized these traits into five large groups, encompassing key strategies involved in ground-layer regeneration after fire. Synthesis. Fire dramatically changes the ground layer of savanna vegetation in the short term, but the system is highly resilient, quickly recovering the pre-fire state. Recovery involves different strategies, which we categorized into five functional groups of plant species:grasses,seeders,bloomers,undergroundersandresprouters. Knowledge of these diverse strategies should be used as a tool to assess conservation and restoration status of fire-resilient ecosystems in the cerrado.",NO,YES,NO,NO
536,Patterns of environmental variability influence coral-associated bacterial and algal communities on the Mesoamerican Barrier Reef,2020,MOLECULAR ECOLOGY,community assembly; DNA barcoding; ecological genomics; Siderastrea; symbioses,"A coral's capacity to alter its microbial symbionts may enhance its fitness in the face of climate change. Recent work predicts exposure to high environmental variability may increase coral resilience and adaptability to future climate conditions. However, how this heightened environmental variability impacts coral-associated microbial communities remains largely unexplored. Here, we examined the bacterial and algal symbionts associated with two coral species of the genusSiderastreawith distinct life history strategies from three reef sites on the Belize Mesoamerican Barrier Reef System with low or high environmental variability. Our results reveal bacterial community structure, as well as alpha- and beta-diversity patterns, vary by host species. Differences in bacterial communities between host species were partially explained by high abundance ofDeltaproteobacteriaandRhodospirillalesand high bacterial diversity inSiderastrea radians. Our findings also suggestSiderastreaspp. have dynamic core bacterial communities that probably drive differences observed in the entire bacterial community, which may play a critical role in rapid acclimatization to environmental change. Unlike the bacterial community,Symbiodiniaceaecomposition was only distinct between host species at high thermal variability sites, suggesting that different factors shape bacterial versus algal communities within the coral holobiont. Our findings shed light on how domain-specific shifts in dynamic microbiomes may allow for unique methods of enhanced host fitness.",NO,NO,NO,NO
537,Aridity exacerbates grazing-induced rangeland degradation: A population approach for dominant grasses,2020,JOURNAL OF APPLIED ECOLOGY,aridity increase; climate change; desertification; drylands; grazing intensification; plant population dynamics; rangeland management,"The current human-induced intensification of grazing pressure and the aridity increase as a result of climate change are unprecedented and have been identified as the main drivers that cause desertification in rangelands world-wide. In these ecosystems, human well-being mostly depends on plant species that provide forage for domestic herbivores. However, scarce evidence exists about the interaction between regional aridity level and human-induced disturbances as determinants of forage plant populations' structure and dynamics. We studied the effects of domestic grazing intensification on the population structure of dominant native grasses, in three rangeland sites located across a regional aridity gradient: a semi-desert (high-aridity site), a shrub-grass steppe (intermediate-aridity site) and a grass steppe (low-aridity site). We also studied the effect of 2-year grazing exclusion on the growth of defoliated plants of a key native forage grass species common to the three sites. Grazing decreased total grass density and increased the frequency of small plants in all sites, particularly for forage species. However, the size of the grazing intensification effect was the greatest in the high-aridity site, where intensive grazing produced a ten-fold reduction of grass density. Moreover, defoliated plants recovery (growth) was lower as aridity increased. Synthesis and applications. Our study provides evidence of a negative synergistic effect of grazing pressure and aridity that may lead to the collapse of grass populations. Long-term grazing intensification degrades the population structure of grasses, particularly in high-aridity sites, where the forage provision is substantially reduced. These results refute the hypothesis that plant traits of dominant species adapted to high aridity allow them to resist herbivory. Besides, high aridity delays plant recovery after defoliation (low resilience). The management of both grazing pressure and the length of grazing rest according to ecological-site aridity are key aspects for maintaining the forage provision of rangelands. Monitoring plant populations' structure through time and space strengthens inferences about responses of forage species to ongoing changes in disturbance and stress regimes. This knowledge is complementary to regional and world-wide monitoring endeavours based on land cover, and it contributes to the robust design of sustainable management of global rangelands.",NO,YES,NO,NO
539,Critical transition to woody plant dominance through microclimate feedbacks in North American coastal ecosystems,2020,ECOLOGY,climate change; cold sensitivity; ecosystem stability; hydraulic conductivity; regime shifts; resilience; vegetation-microclimate feedbacks; woody plant encroachment,"Climate warming is facilitating the expansion of many cold-sensitive woody species in woodland-grassland ecotones worldwide. Recent research has demonstrated that this range expansion can be further enhanced by positive vegetation-microclimate feedbacks whereby woody canopies induce local nocturnal warming, which reduces freeze-induced damage and favors the establishment of woody plants. However, this local positive feedback can be counteracted by biotic drivers such as browsing and the associated consumption of shrub biomass. The joint effects of large-scale climate warming and local-scale microclimate feedbacks on woody vegetation dynamics in these ecotones remain poorly understood. Here, we used a combination of experimental and modeling approaches to investigate the effects of woody cover on microclimate and the consequent implications on ecological stability in North American coastal ecosystems. We found greater browsing pressure and significant warming (similar to 2 degrees C) beneath shrub canopies compared to adjacent grasslands, which reduces shrub seedlings' exposure to cold damage. Cold sensitivity is evidenced by the significant decline in xylem hydraulic conductivity in shrub seedlings when temperatures dropped below -2 degrees C. Despite the negative browsing-vegetation feedback, a small increase in minimum temperature can induce critical transitions from grass to woody plant dominance. Our framework also predicts the threshold temperature of -7 degrees C for mangrove-salt marsh ecotones on the Atlantic coast of Florida. Above this reference temperature a critical transition may occur from salt marsh to mangrove vegetation, in agreement with empirical studies. Thus, the interaction between ongoing global warming trends and microclimate feedbacks may significantly alter woody vegetation dynamics and ecological stability in coastal ecosystems where woody plant expansion is primarily constrained by extreme low temperature events.",NO,YES,NO,NO
540,Local adaptation constrains drought tolerance in a tropical foundation tree,2020,JOURNAL OF ECOLOGY,climate change; ecotypes; germination; Hawaiian Islands; phenotypic plasticity; seedling establishment; seedling recruitment,"Plant species with broad climatic ranges might be more vulnerable to climate change than previously appreciated due to intraspecific variation in climatic stress tolerance. In tropical forests, drought is increasingly frequent and severe, causing widespread declines and altering community dynamics. Yet, little is known about whether foundation tropical trees vary in drought tolerance throughout their distributions, and how intraspecific variation in drought tolerance might contribute to their vulnerability to climate change. We tested for local adaptation in seedling emergence and establishment with a full-factorial reciprocal transplant experiment including 27 populations and 109,350 seeds along a 3,500 mm precipitation gradient for a widespread tropical foundation tree,Metrosideros polymorpha, in Hawaii. To more precisely relate seedling performance to soil moisture, we conducted a complementary greenhouse experiment to test responses of the same focal populations to simulated drought. In the reciprocal transplant experiment, we observed significant variation among populations and sites in germination and seedling establishment rates. Overall, there was a significant link between historical rainfall of populations and their performance under current rainfall at the study sites consistent with local adaptation. In particular, populations from historically wet sites demonstrated lower germination rates in currently dry sites compared to wet field sites, while populations from historically dry sites germinated well across all sites, with particularly high germination in dry sites. In the greenhouse, seedlings from wet populations survived fewer days without water, and succumbed at wetter soil conditions than populations from historically dry sites, corroborating results from the field experiment. Synthesis. While climate change models project the greatest drying trends for historically dry areas in Hawaii, even moderate drying of wet sites could significantly reduceMetrosideros polymorpharecruitment given the sensitivity of seedlings to very slight changes in water regimes. Thus, althoughM. polymorphademonstrates high seedling drought tolerance in some populations, providing evidence of resilience at the species-scale, there are nonetheless vulnerable populations that will likely decline under climate change. Our approach demonstrates that even trees with high dispersal abilities can show significant clines in drought tolerance, and suggests that similar intraspecific variation might be an important consideration for other tropical foundational tree species.",NO,NO,NO,NO
542,Linking variability of tree water use and growth with species resilience to environmental changes,2020,ECOGRAPHY,forest resilience; Larix deciduaMill; Picea abies(L) Karst; temporal variability; tree hydraulics and growth; tree-ring widths,"Tree growth is an indicator of tree vitality and its temporal variability is linked to species resilience to environmental changes. Second-order statistics that quantify the cross-scale temporal variability of ecophysiological time series (statistical memory) could provide novel insights into species resilience. Species with high statistical memory in their tree growth may be more affected by disturbances, resulting in lower overall resilience and higher vulnerability to environmental changes. Here, we assessed the statistical memory, as quantified with the decay in standard deviation with increasing time scale, in tree water use and growth of co-occurring European larchLarix deciduaand Norway sprucePicea abiesalong an elevational gradient in the Swiss Alps using measurements of stem radius changes, sap flow and tree-ring widths. Local-scale interspecific differences between the two conifers were further explored at the European scale using data from the International Tree-Ring Data Bank. Across the analysed elevational gradient, tree water use showed steeper variability decay with increasing time scale than tree growth, with no significant interspecific differences, highlighting stronger statistical memory in tree growth processes. Moreover, Norway spruce displayed slower decay in growth variability with increasing time scale (higher statistical memory) than European larch; a pattern that was also consistent at the European scale. The higher statistical memory in tree growth of Norway spruce in comparison to European larch is indicative of lower resilience of the former in comparison to the latter, and could potentially explain the occurrence of European larch at higher elevations at the Alpine treeline. Single metrics of resilience cannot often summarize the multifaceted aspects of ecosystem functioning, thus, second-order statistics that quantify the strength of statistical memory in ecophysiological time series could complement existing resilience indicators, facilitating the assessment of how environmental changes impact forest growth trajectories and ecosystem services.",NO,YES,NO,NO
543,Strong self-regulation and widespread facilitative interactions in phytoplankton communities,2020,JOURNAL OF ECOLOGY,coexistence; facilitation; mutualism; networks; niche theory; phytoplankton; time series,"The persistence of phytoplanktonic diversity in spite of competition for basic resources has long been a source of wonder and inspiration to ecologists. To sort out, among the many coexistence mechanisms suggested by theory and experiments, which ones actually maintain diversity in natural ecosystems, long-term field studies are paramount. We analysed a large dataset of phytoplankton abundance time series using dynamic, multivariate autoregressive (MAR) models. Phytoplankton was counted and identified down to the genus level, every 2 weeks over 20 years, at 10 sites along the French coastline. MAR models allowed to estimate biotic interaction networks while also accounting for abiotic variables that may drive part of the phytoplankton fluctuations. We then analysed the ratio of intra to intertaxa interactions (a measure of niche differentiation), the frequency of negative versus positive interactions, and how stability metrics (both at the network and genus level) relate to network complexity and genus self-regulation or abundance. We showed that a strong self-regulation, with competition strength within a taxon (genus) an order of magnitude higher than between taxa, was present in all phytoplanktonic interaction networks. This much stronger intragenus competition suggests that niche differentiation-rather than neutrality-is commonplace in phytoplankton. Furthermore, interaction networks were dominated by positive net effects between phytoplanktonic taxa (on average, more than 50% of interactions were positive). While network stability (sensu resilience) was unrelated to complexity measures, we unveiled links between self-regulation, intergenera interaction strengths and abundance. The less common taxa tend to be more strongly self-regulated and can therefore maintain in spite of competition with more abundant ones. Synthesis. We demonstrate that strong niche differentiation, widespread facilitation between phytoplanktonic taxa and stabilizing covariances between interaction strengths should be common features of coexisting phytoplankton communities in the field. These are structural properties that we can expect to emerge from plausible mechanistic models of phytoplankton communities. We discuss mechanisms, such as predation or restricted microscale movement, that are consistent with these findings, which paves the way for further research.",NO,YES,NO,NO
546,Candidate gene SNP variation in floodplain populations of pedunculate oak (Quercus roburL.) near the species' southern range margin: Weak differentiation yet distinct associations with water availability,2020,MOLECULAR ECOLOGY,candidate genes; climate change; genotype-environment association; landscape genomics; local adaptation; marginal populations; Quercus,"Populations residing near species' low-latitude range margins (LLMs) often occur in warmer and drier environments than those in the core range. Thus, their genetic composition could be shaped by climatic drivers that differ from those occurring at higher latitudes, resulting in potentially adaptive variants of conservation value. Such variants could facilitate the adaptation of populations from other portions of the geographical range to similar future conditions anticipated under ongoing climate change. However, very few studies have assessed standing genetic variation at potentially adaptive loci in natural LLM populations. We investigated standing genetic variation at single nucleotide polymorphisms (SNPs) located within 117 candidate genes and its links to putative climatic selection pressures across 19 pedunculate oak (Quercus roburL.) populations distributed along a regional climatic gradient near the species' southern range margin in southeastern Europe. These populations are restricted to floodplain forests along large lowland rivers, whose hydric regime is undergoing significant shifts under modern rapid climate change. The populations showed very weak geographical structure, suggesting extensive genetic connectivity and gene flow or shared ancestry. We identified eight (6.2%) positiveF(ST)-outlier loci, and genotype-environment association analyses revealed consistent associations between SNP allele frequencies and several climatic variables linked to water availability. A total of 61 associations involving 37 SNPs (28.5%) from 35 annotated genes provided important insights into putative functional mechanisms in our system. Our findings provide empirical support for the role of LLM populations as sources of potentially adaptive variation that could enhance species' resilience to climate change-related pressures.",NO,NO,NO,NO
547,Genome-wide SNP analysis reveals an increase in adaptive genetic variation through selective breeding of coral,2020,MOLECULAR ECOLOGY,bleaching; coral; heat tolerance; heritability; selective breeding; SNPs,"Marine heat waves are increasing in magnitude, duration, and frequency as a result of climate change and are the principal global driver of mortality in reef-building corals. Resilience-based genetic management may increase coral heat tolerance, but it is unclear how temperature responses are regulated at the genome level and thus how corals may adapt to warming naturally or through selective breeding. Here we combine phenotypic, pedigree, and genomic marker data from colonies sourced from a warm reef on the Great Barrier Reef reproductively crossed with conspecific colonies from a cooler reef to produce combinations of warm purebreds and warm-cool hybrid larvae and juveniles. Interpopulation breeding created significantly greater genetic diversity across the coral genome compared to breeding between populations and maintained diversity in key regions associated with heat tolerance and fitness. High-density genome-wide scans of single nucleotide polymorphisms (SNPs) identified alleles significantly associated with larval families reared at 27.5 degrees C (87-2,224 loci), including loci putatively associated with proteins involved in responses to heat stress (cell membrane formation, metabolism, and immune responses). Underlying genetics of these families explained 43% of PCoA multilocus variation in survival, growth, and bleaching responses at 27.5 degrees C and 31 degrees C at the juvenile stage. Genetic marker contribution to total variation in fitness traits (narrow-sense heritability) was high for survival but not for growth and bleaching in juveniles, with heritability of these traits being higher at 31 degrees C relative to 27.5 degrees C. While based on only a limited number of crosses, the mechanistic understanding presented here demonstrates that allele frequencies are affected by one generation of selective breeding, key information for the assessments of genetic intervention feasibility and modelling of reef futures.",NO,NO,NO,NO
548,Plant community flood resilience in intensively managed grasslands and the role of the plant economic spectrum,2020,JOURNAL OF APPLIED ECOLOGY,extreme weather event; flooding; grassland; plant community; plant traits; recovery; resistance; resource economic spectrum,"The increasing frequency of extreme weather events, such as floods, requires management strategies that promote resilience of grassland productivity. Mixtures of plant species may better resist and recover from flooding than monocultures, as they could combine species with stress-coping and resource acquisition traits. This has not yet been tested in intensively managed grasslands despite its relevance for enhancing agroecosystem resilience. Using intact soil cores from an 18-month-old field experiment, we tested how 11 plant communities (Festuca arundinacea, Lolium perenne, Poa trivialis and Trifolium repens in monoculture, two- and four-species mixtures) resist and recover from repeated flooding in a 4-month greenhouse experiment. We found that plant community composition, not whether the community was a mixture or monoculture, influenced the community's resistance to flooding, although most communities were able to resist and recover from both floods. The plant community's position on the leaf economic spectrum in flooded conditions was related to its resistance to and recovery from flooding. Resistance to and recovery from a severe flood were related to flood-induced intraspecific trait variation, causing a shift in the community's position on the leaf resource economic spectrum. In flooded conditions, resource-conservative communities (characterized by low specific leaf area, low leaf nitrogen content and high leaf dry matter content) better resisted and recovered from flooding. The community's position on the root resource economic spectrum was less connected to the community's resistance and recovery. Synthesis and applications. Our study shows that in flooded conditions, resource-conservative plant communities are more resilient to flooding than resource-acquisitive communities in an intensively managed grassland. This suggests that plant community position on the leaf economic spectrum, as well as species' flood-induced intraspecific variation, should be considered when designing grasslands to withstand increasing flood frequency and severity.",NO,YES,NO,NO
